#REFERENCE 0
1a 181.55115541758227 -8.798562913578294 0.2 0.2 0.0 1.0121 25
1b 181.54881849595208 -8.805953973311277 0.2 0.2 0.0 1.0121 25
2a 181.5485875330324 -8.796523543528982 0.2 0.2 0.0 1.0369 25
2b 181.54711852619846 -8.79892545814165 0.2 0.2 0.0 1.0369 25
2c 181.54636822079084 -8.80382113632613 0.2 0.2 0.0 1.0369 25
3a 181.54855450779505 -8.804787006567896 0.2 0.2 0.0 1.0433 25
3b 181.54922762821934 -8.800057305625108 0.2 0.2 0.0 1.0433 25
3c 181.5513252269678 -8.79666899102951 0.2 0.2 0.0 1.0433 25
4a 181.5526249938067 -8.801190047724816 0.2 0.2 0.0 1.4248 25
4b 181.5531412086083 -8.796112176150936 0.2 0.2 0.0 1.4248 25
4c 181.5494431833252 -8.8068568391664 0.2 0.2 0.0 1.4248 25
5a 181.55320563226326 -8.801365603497835 0.2 0.2 0.0 1.4254 25
5b 181.55336608014625 -8.79633919369826 0.2 0.2 0.0 1.4254 25
5c 181.54963418449725 -8.806999973881215 0.2 0.2 0.0 1.4254 25
6a 181.5506064578162 -8.7985603265069 0.2 0.2 0.0 1.4255 25
6b 181.5479669745669 -8.807974480822118 0.2 0.2 0.0 1.4255 25
6c 181.55104714071584 -8.798013160796915 0.2 0.2 0.0 1.4255 25
7a 181.55010993477973 -8.799284051730787 0.2 0.2 0.0 1.4257 25
7b 181.54817127780663 -8.80763698356063 0.2 0.2 0.0 1.4257 25
7c 181.55162780303064 -8.797174643912996 0.2 0.2 0.0 1.4257 25
8a 181.55361770569664 -8.801025886863824 0.2 0.2 0.0 1.4864 25
8b 181.55353030557364 -8.796893519640795 0.2 0.2 0.0 1.4864 25
8c 181.54956598393852 -8.807619916161016 0.2 0.2 0.0 1.4864 25
9a 181.54555951519825 -8.806820160176327 0.2 0.2 0.0 1.96 25
9b 181.54917418684926 -8.794715319251692 0.2 0.2 0.0 1.96 25
9c 181.54611007899186 -8.798291508255314 0.2 0.2 0.0 1.96 25
10a 181.5532247696794 -8.796762036110975 0.2 0.2 0.0 2.5393 25
10b 181.55393941121952 -8.800180269870618 0.2 0.2 0.0 2.5393 25
10c 181.54830627451182 -8.809830530861111 0.2 0.2 0.0 2.5393 25
11a 181.55146387611015 -8.795947505370963 0.2 0.2 0.0 3.389 25
11b 181.5469860800998 -8.810206907112894 0.2 0.2 0.0 3.389 25
11c 181.54869389643238 -8.798276344512326 0.2 0.2 0.0 3.389 25
11d 181.54922127130467 -8.7985205365279 0.2 0.2 0.0 3.389 25
12a 181.55023635176516 -8.805500128567742 0.2 0.2 0.0 3.3961 25
12b 181.55235624583614 -8.803519773521927 0.2 0.2 0.0 3.3961 25
12c 181.5549245884843 -8.79109869453978 0.2 0.2 0.0 3.3961 25
13a 181.55067513227314 -8.808900646433003 0.2 0.2 0.0 3.7611 25
13b 181.55597495943817 -8.802894371415833 0.2 0.2 0.0 3.7611 25
13c 181.5562408798375 -8.794121577958071 0.2 0.2 0.0 3.7611 25
14a 181.55474779804555 -8.793839126005686 0.2 0.2 0.0 3.7617 25
14b 181.55526809306937 -8.802354365267048 0.2 0.2 0.0 3.7617 25
14c 181.54959958407127 -8.808911483538958 0.2 0.2 0.0 3.7617 25
15a 181.54939144651206 -8.810964087702917 0.2 0.2 0.0 3.8224 25
15b 181.55604721441821 -8.800076789906031 0.2 0.2 0.0 3.8224 25
15c 181.55563852721784 -8.79763793035441 0.2 0.2 0.0 3.8224 25
16a 181.55491699855557 -8.798354692319858 0.2 0.2 0.0 4.04 25
16b 181.55507591347833 -8.798978665558577 0.2 0.2 0.0 4.04 25
16c 181.5485742732542 -8.81127839023685 0.2 0.2 0.0 4.04 25
17a 181.55571105409953 -8.792692260401756 0.2 0.2 0.0 4.0553 25
17b 181.55048170596405 -8.808116016727553 0.2 0.2 0.0 4.0553 25
17c 181.55519417675615 -8.803261757151182 0.2 0.2 0.0 4.0553 25
18a 181.55157214553512 -8.793847554099822 0.2 0.2 0.0 4.0718 25
18b 181.54707171410664 -8.798732785431786 0.2 0.2 0.0 4.0718 25
18c 181.546792895061 -8.809038002801847 0.2 0.2 0.0 4.0718 25
19a 181.547275260128 -8.793009497030239 0.2 0.2 0.0 4.2913 25
19b 181.54369271183378 -8.797114612277527 0.2 0.2 0.0 4.2913 25
19c 181.54318885218163 -8.806834066016856 0.2 0.2 0.0 4.2913 25
20a 181.5604654772467 -8.80587810610457 0.2 0.2 0.0 4.7293 25
20b 181.55873915381954 -8.808491664358648 0.2 0.2 0.0 4.7293 25
20c 181.56182588456147 -8.797307576494394 0.2 0.2 0.0 4.7293 25
21a 181.5527217701584 -8.800743897610129 0.2 0.2 0.0 5.6984 25
21b 181.55117419974414 -8.800386559765089 0.2 0.2 0.0 5.6984 25
21c 181.5483612796638 -8.798897200597017 0.2 0.2 0.0 5.6984 25
21d 181.54776142389477 -8.798625763694421 0.2 0.2 0.0 5.6984 25
21e 181.5527752281337 -8.794206848379739 0.2 0.2 0.0 5.6984 25
21f 181.5473197294021 -8.810078767906802 0.2 0.2 0.0 5.6984 25
22a 181.55871222274726 -8.801250446962868 0.2 0.2 0.0 5.7927 25
22b 181.55857906261548 -8.797512224121384 0.2 0.2 0.0 5.7927 25
22c 181.55211579104466 -8.811221086241744 0.2 0.2 0.0 5.7927 25
